               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.072143,            0.013511,             0.02386,             0.17704,                0.95,             0.18428,            0.081838,            0.086146,           0.0086495,            0.015029,            0.009307,            0.009307,            0.009307
                  37,            0.084419,            0.012334,            0.022441,             0.17704,                0.95,             0.18428,            0.081838,            0.086146,           0.0086495,            0.015029,           0.0092872,           0.0092872,           0.0092872
                  38,            0.083332,            0.011951,            0.020655,            0.081341,               0.525,             0.11339,            0.037258,             0.08636,             0.00781,            0.013613,           0.0092674,           0.0092674,           0.0092674
                  39,            0.086304,            0.012467,             0.02029,             0.44322,             0.92173,             0.70996,             0.13412,            0.085421,           0.0073057,            0.011101,           0.0092476,           0.0092476,           0.0092476
                  40,            0.086061,            0.010937,            0.018193,             0.44322,             0.92173,             0.70996,             0.13412,            0.085421,           0.0073057,            0.011101,           0.0092278,           0.0092278,           0.0092278
                  41,            0.080513,            0.011696,            0.019667,             0.56627,             0.88419,             0.82816,             0.35589,            0.074271,           0.0072954,            0.010125,            0.009208,            0.009208,            0.009208
                  42,            0.077153,            0.012987,            0.022581,             0.64241,                0.95,             0.97279,              0.3594,            0.072019,            0.007638,           0.0096447,           0.0091882,           0.0091882,           0.0091882
                  43,            0.075238,            0.013259,             0.01991,             0.64241,                0.95,             0.97279,              0.3594,            0.072019,            0.007638,           0.0096447,           0.0091684,           0.0091684,           0.0091684
                  44,            0.070144,            0.013672,            0.016834,             0.61817,               0.975,             0.95849,             0.54373,            0.062398,           0.0082237,             0.01019,           0.0091486,           0.0091486,           0.0091486
                  45,            0.068796,            0.013056,            0.016967,             0.62244,             0.95456,             0.90494,             0.20873,            0.077725,           0.0072834,            0.019804,           0.0091288,           0.0091288,           0.0091288
                  46,            0.081448,            0.011714,            0.016839,             0.62244,             0.95456,             0.90494,             0.20873,            0.077725,           0.0072834,            0.019804,            0.009109,            0.009109,            0.009109
                  47,            0.075934,            0.012004,            0.018036,             0.75014,               0.975,                0.99,              0.3279,            0.071926,            0.007008,           0.0080573,           0.0090892,           0.0090892,           0.0090892
                  48,            0.069918,            0.014357,            0.017912,             0.50657,                 0.6,               0.541,              0.3591,            0.075582,           0.0071909,            0.011045,           0.0090694,           0.0090694,           0.0090694
                  49,            0.073846,            0.012703,            0.013453,             0.50657,                 0.6,               0.541,              0.3591,            0.075582,           0.0071909,            0.011045,           0.0090496,           0.0090496,           0.0090496
                  50,            0.067795,            0.013673,            0.016055,             0.90458,               0.825,               0.923,              0.5049,            0.066937,           0.0073406,             0.01076,           0.0090298,           0.0090298,           0.0090298
                  51,            0.064696,            0.013785,            0.015702,             0.49712,               0.925,              0.8455,             0.33832,            0.067678,           0.0075453,           0.0082609,             0.00901,             0.00901,             0.00901
                  52,            0.071285,            0.014507,            0.015438,             0.49712,               0.925,              0.8455,             0.33832,            0.067678,           0.0075453,           0.0082609,           0.0089902,           0.0089902,           0.0089902
                  53,            0.069175,            0.014102,            0.015337,             0.68792,             0.96112,             0.91614,             0.32704,            0.062687,           0.0078726,           0.0082266,           0.0089704,           0.0089704,           0.0089704
                  54,            0.064595,            0.013297,            0.018362,             0.39972,                 0.9,             0.45493,             0.13421,            0.068746,           0.0076749,           0.0091246,           0.0089506,           0.0089506,           0.0089506
                  55,            0.072528,            0.013067,            0.016114,             0.39972,                 0.9,             0.45493,             0.13421,            0.068746,           0.0076749,           0.0091246,           0.0089308,           0.0089308,           0.0089308
                  56,            0.061869,            0.011998,            0.014772,             0.75784,             0.97425,             0.88113,             0.31626,            0.056196,           0.0077841,            0.009732,            0.008911,            0.008911,            0.008911
                  57,            0.053482,            0.013758,            0.013721,             0.60918,             0.84274,             0.60711,              0.1781,            0.067197,           0.0069527,           0.0093693,           0.0088912,           0.0088912,           0.0088912
                  58,             0.06988,            0.010271,            0.014603,             0.60918,             0.84274,             0.60711,              0.1781,            0.067197,           0.0069527,           0.0093693,           0.0088714,           0.0088714,           0.0088714
                  59,            0.063906,            0.012998,            0.015099,             0.97579,             0.96108,             0.98881,             0.26641,             0.06126,           0.0066108,           0.0078785,           0.0088516,           0.0088516,           0.0088516
                  60,            0.056753,            0.011637,            0.014108,             0.51105,             0.94224,             0.63877,             0.22106,            0.066075,           0.0064914,           0.0079805,           0.0088318,           0.0088318,           0.0088318
